Release Height (m),Radionuclide,Distance (m),Stability Category,Dose
10,Eu-154,2000,5,7.760808851197733e-09
10,Eu-154,2000,6,1.1812604515766288e-08
10,Eu-155,2000,1,5.26698829103006e-12
10,Eu-155,2000,2,5.574810923215596e-11
10,Eu-155,2000,3,1.3400127058575536e-10
10,Eu-155,2000,4,3.2189249949243627e-10
10,Eu-155,2000,5,5.219038467354991e-10
10,Eu-155,2000,6,8.2223749163984e-10
20,Cs-137,25,1,8.623843130648919e-09
20,Cs-137,25,2,8.696388950367569e-09
20,Cs-137,25,3,8.718607438013466e-09
20,Cs-137,25,4,8.763682537303911e-09
20,Cs-137,25,5,8.806805424065038e-09
20,Cs-137,25,6,8.878333674552517e-09
20,Cs-134,25,1,2.2858733632817866e-08
20,Cs-134,25,2,2.30470881484404e-08
20,Cs-134,25,3,2.309918014208368e-08
20,Cs-134,25,4,2.3224087863955972e-08
20,Cs-134,25,5,2.333566631779583e-08
20,Cs-134,25,6,2.3527114569802445e-08
20,Ar-41,25,1,1.6249096817677293e-08
20,Ar-41,25,2,1.6376014070557178e-08
20,Ar-41,25,3,1.640557735914449e-08
20,Ar-41,25,4,1.649190665187492e-08
20,Ar-41,25,5,1.657472539184251e-08
20,Ar-41,25,6,1.6706836128146932e-08
20,Xe-135,25,1,4.428235557633377e-09
20,Xe-135,25,2,4.470379006748873e-09
20,Xe-135,25,3,4.487109933877987e-09
20,Xe-135,25,4,4.514170848295336e-09
20,Xe-135,25,5,4.5361117348058495e-09
20,Xe-135,25,6,4.5735271752457615e-09
20,Co-60,25,1,3.207884404589433e-08
20,Co-60,25,2,3.2335733493900746e-08
20,Co-60,25,3,3.23973832853004e-08
20,Co-60,25,4,3.2567568869063115e-08
20,Co-60,25,5,3.27272134738514e-08
20,Co-60,25,6,3.2992193392401784e-08
20,I-131,25,1,6.542777487108768e-09
20,I-131,25,2,6.60088548233433e-09
20,I-131,25,3,6.621013157204938e-09
20,I-131,25,4,6.658599214672873e-09
20,I-131,25,5,6.690732821157124e-09
20,I-131,25,6,6.747360580816094e-09
20,I-132,25,1,3.225888190255682e-08
20,I-132,25,2,3.2524996995216776e-08
20,I-132,25,3,3.2600081720568126e-08
20,I-132,25,4,3.277296019288759e-08
20,I-132,25,5,3.29323418364346e-08
20,I-132,25,6,3.3201434024332226e-08
20,Kr-87,25,1,9.865907888863552e-09
20,Kr-87,25,2,9.949977616072797e-09
20,Kr-87,25,3,9.973961768051318e-09
20,Kr-87,25,4,1.0026838044331644e-08
20,Kr-87,25,5,1.0075570935299492e-08
20,Kr-87,25,6,1.0159214468472852e-08
20,Kr-88,25,1,2.1381588451266104e-08
20,Kr-88,25,2,2.1562672626591277e-08
20,Kr-88,25,3,2.1606458973232805e-08
20,Kr-88,25,4,2.1719881537524607e-08
20,Kr-88,25,5,2.1826661707239783e-08
20,Kr-88,25,6,2.200720067193336e-08
20,Kr-85,25,1,3.646750039955471e-11
20,Kr-85,25,2,3.678264929203759e-11
20,Kr-85,25,3,3.6877426596953016e-11
20,Kr-85,25,4,3.708607049767642e-11
20,Kr-85,25,5,3.727024765888092e-11
